,OBJECTID,Location,BureauID,Date_,TotalKille,CiviliansK,ChildrenKi,Summary,Latitude,Longitude,Killed,Year
162,163,Darga Mandi,Ob111,2010-08-23,5,0,0,"5 killed in attack on compound in Derga Mandai, North Waziristan.",33.0469467336,70.0203323364,5,2010
163,164,Shahidano,Ob112,2010-08-27,9,0,0,9 suspected militants killed in attack on trucks in Kurram Agency.,33.6809254195,70.4168701172,9,2010
164,165,Badshah Kot,Ob113,2010-08-27,Unknown,0,0,"A strike destroyed a residential compound. No casualty figures are available. Badshah Kot, Kurram Agency",33.4752675947,70.3883743286,0,2010
165,166,Taaloo Ganj,Ob114,2010-08-27,3,0,0,"3 alleged miltants killed in attack on house in Taaloo Ganj, Kurram Agency.",33.6877817584,70.5487060547,3,2010
166,167,Miram Shah,Ob115,2010-09-03,6-9,0,0,"6-9 alleged militants killed in attack on house in Miranshah, North Waziristan.",33.0020413985,70.0608444214,6,2010
167,168,Datta Khel,Ob116,2010-09-03,2-4,0,0,"2-4 killed in strike in Datta Khel, North Waziristan.",33.1772151478,70.4367828369,2,2010
168,169,Datta Khel,Ob117,2010-09-04,8,0,0,"8 alleged militants killed in attack on vehicle in Datta Khel, North Waziristan.",33.1772151478,70.4367828369,8,2010
169,170,Khar Qamar,Ob118,2010-09-06,6,0,0,Six alleged militants were killed in an attack on a car. Khar Qamar area of North Waziristan.,32.9726678522,69.7123718262,6,2010
170,171,Danda Darpakhel,Ob119,2010-09-08,10,4,4,"4 children and 6 alleged militants killed in attack on houses in Danda Darpakhel, North Waziristan.",33.0201789992,70.0728607178,10,2010
171,172,Ambar Shaga,Ob120,2010-09-08,4,0,0,"4 alleged militants killed in strike on car in Ambar Shaga, North Waziristan.",33.0014655406,69.5283508301,4,2010
172,173,Danda Darpakhel,Ob121,2010-09-08,At least 10,0,0,"2 named militants, including a Briton and Uzbek, killed with 8 others in strike on compound in Danda Darpakhel, North Waziristan.",33.0201789992,70.0728607178,10,2010
173,174,Miram Shah,Ob122,2010-09-09,6,0,0,"6 alleged militants killed in attack on house in Miranshah, North Waziristan.",33.0020413985,70.0608444214,6,2010
174,175,Newey Adda,Ob123,2010-09-12,5-7,0,0,"7 alleged militants killed in attack on house in Newey Adda, North Waziristan.",32.9870678707,69.6873092651,5,2010
175,176,Bushnarai,Ob124,2010-09-14,11-12,0,0,"11-12 alleged Haqqani militants killed in strike on house in Bushnarai, North Waziristan.",33.0184517693,69.6550369263,11,2010
176,177,Qutab Khel,Ob125,2010-09-14,4,0,0,"Named Haqqani leader among 4 dead when car destroyed in Qutabkhel, North Waziristan.",32.9841880549,70.0766372681,4,2010
177,178,Darga Mandi,Ob126,2010-09-15,12-15,5,0,"Up to 15 killed including civilian rescuers in attack on alleged militant compound in Dargha Mandi, North Waziristan.",33.0469467336,70.0203323364,12,2010
178,179,Pai Khel,Ob127,2010-09-15,5-7,0,0,"5-7 alleged militants killed in strike on housing compound in Payakhel, North Waziristan.",32.977564122,69.6416473389,5,2010
179,180,Deegan,Ob128,2010-09-19,5-9,5,0,"4 alleged Haqqani militants killed and possibly 5 civilians in strike in Deghan, Datta Khel, North Waziristan.",32.9686354261,69.7020721436,5,2010
180,181,Darazinda,Ob129,2010-09-20,6,0,0,"2-3 alleged militants on motorbike and 2-3 rescuers, possibly civilians, killed. Darazinda, North Waziristan.",33.066513693,69.7010421753,6,2010
181,182,Khand Morsak,Ob130,2010-09-22,7-8,0,0,"7-8 alleged militants killed in attack on car in Khand Morsak, South Waziristan.",32.4642949731,69.2972946167,7,2010
182,183,Azam Warsak,Ob131,2010-09-22,16,0,0,"Failed attack on militant leader (possibly at funeral) kills 16 in Azam Warsak, South Waziristan.",32.3022237948,69.4054412842,16,2010
183,184,Datta Khel,Ob132,2010-09-25,4,0,0,"3 named al Qaeda including a commander among 4 dead in Miranshah, North Waziristan.",33.1772151478,70.4367828369,4,2010
184,185,Lawra Mandi,Ob133,2010-09-26,4,0,0,"4 alleged militants killed in attack on truck in Lawra Mandi, Datta Khel.",32.9756920509,69.6706581116,4,2010
185,186,Miram Shah,Ob134,2010-09-26,3-5,0,0,"3-5 killed, possibly civilians, in attack on jeep in Miranshah, North Waziristan.",33.0020413985,70.0608444214,3,2010
186,187,Sheerani,Ob135,2010-09-26,2-3,0,0,"2-3 people unknown killed in attack on vehicle in Sherani, North Waziristan.",32.9942669993,69.7725391388,2,2010
187,188,Khushali,Ob136,2010-09-27,3-4,0,0,"3-4 alleged militants killed in strike on house in Khushali Toorikhel, North Waziristan.",32.9686354261,70.353012085,3,2010
188,189,Zeba,Ob137,2010-09-28,4,0,0,"4 alleged militants killed in attack on house in Zeba, South Waziristan.",32.4784877027,69.2784118652,4,2010
189,190,Asar Village,Ob138,2010-10-02,9-10,0,0,"Up to 10 alleged militants killed including (possibly) named TTP commander. Asar, Datta Khel, North Waziristan.",32.9913874183,69.6399307251,9,2010
190,191,Inzarkas,Ob139,2010-10-02,8-14,0,0,"8-9 people, possibly militants, killed in attack in Inzarkas, North Waziristan.",32.9876438226,69.6261978149,8,2010
191,192,Mir Ali,Ob140,2010-10-04,At least 12,0,0,"8 German and 1 British alleged militants killed with possibly 3 civilians in attack on mosque in Mir Ali, North Waziristan.",32.9582654853,70.2410888672,12,2010
192,193,Miram Shah,Ob141,2010-10-06,5-6,0,0,"Failed attack on named al Qaeda commander kills 5-6 in Miranshah, North Waziristan.",33.0020413985,70.0608444214,5,2010
193,194,Hurmuz,Ob142,2010-10-06,3-5,0,0,"3-5 alleged militants killed in attack on house in Hurmuz, Mir Ali, North Waziristan.",32.9684554028,70.2527189255,3,2010
194,195,Khaisoori,Ob143,2010-10-07,4,0,0,"4 alleged militants killed including 1 named al Qaeda operative in Khaisoori, North Waziristan.",32.9746839961,70.2632331848,4,2010
195,196,Mohammad Khel,Ob144,2010-10-08,4-6,0,0,"4 alleged militants killed in Mohammad Khel, North Waziristan.",32.9971464863,69.7264480591,4,2010
196,197,Char Khel,Ob145,2010-10-08,8,0,0,"8 people killed, some possibly civilians, in attack on house in Charkhel, North Waziristan.",33.0132698769,69.8531341553,8,2010
197,198,Shiva,Ob146,2010-10-10,7-9,0,0,"Double strike in vicinity of refugee camp kills 7-9 people. Shiva, Mir Ali, North Waziristan.",32.9905235257,70.3046035767,7,2010
198,199,Datta Khel,Ob147,2010-10-13,11-14,3,0,"Attack on house and car kills up to 11 including rescuers in Datta Khel, North Waziristan.",33.1772151478,70.4367828369,11,2010
199,200,Aziz Khel,Ob148,2010-10-15,4-6,0,0,"4-6 alleged militants killed in attack on house in Aziz Khel, North Waziristan.",32.9706516621,70.2927589417,4,2010
200,201,Machi Khel,Ob149,2010-10-15,4-5,0,0,"5 militants or civilians killed in strike on vehicle in Machi Khel, North Waziristan.",32.9962826501,70.308380127,4,2010
201,202,Datta Khel,Ob150,2010-10-18,7,0,1,10 year old boy killed with 6 suspected militants in Danda Darpakhel.,33.1772151478,70.4367828369,7,2010
202,203,Mir Ali,Ob151,2010-10-27,4-5,0,0,"4-5 alleged militants killed in attack on house in Spinwam, North Waziristan.",32.9582654853,70.2410888672,4,2010
203,204,Deegan,Ob152,2010-10-27,4,0,0,"4 alleged militants including westerners killed in Degan, Datta Khel, North Waziristan.",32.9686354261,69.7020721436,4,2010
204,205,Ismail Khel,Ob153,2010-10-28,5-8,0,0,"5-8 alleged militants killed as a body from Ob151 was being moved for a funeral, Ismail Khan, North Waziristan.",32.9945549522,69.7338294983,5,2010
205,206,Haider Khel,Ob154,2010-11-01,6,0,0,"6 alleged militants killed in attack on house in Haider Khel, North Waziristan.",32.9700755994,70.3107833862,6,2010
206,207,Qutab Khel,Ob155,2010-11-03,4-5,0,0,"5 alleged militants killed in strike on car in Qutab Khel, North Waziristan.",32.9841880549,70.0766372681,4,2010
207,208,Khaso Khel,Ob156,2010-11-03,4-5,0,0,"4-5 alleged militants killed in strike on car in Khaso Khel, North Waziristan.",32.9620103266,70.333442688,4,2010
208,209,Pai Khel,Ob157,2010-11-03,4-5,0,0,"4-5 alleged militants killed in attack on car in Datta Khel, North Waziristan.",32.977564122,69.6416473389,4,2010
209,210,Ghulam Khan,Ob158,2010-11-07,9,0,0,"9 alleged militants killed in strike on house and car in Ghulam Khan, North Waziristan.",33.0561552562,70.0786972046,9,2010
210,211,Datta Khel,Ob159,2010-11-07,4-5,0,0,"4-5 people/ alleged militants killed in strike on car in Datta Khel, North Waziristan.",33.1772151478,70.4367828369,4,2010
211,212,Ghulam Khan,Ob160,2010-11-11,5-8,0,0,"5-8 alleged Taliban killed in strike on house in Ghulam Khan, North Waziristan.",33.0561552562,70.0786972046,5,2010
212,213,Miram Shah,Ob161,2010-11-13,4,0,0,"4 civilians or alleged militants killed in car in Miranshah, North Waziristan.",33.0020413985,70.0608444214,4,2010
213,214,Ghulam Khan,Ob162,2010-11-16,20,0,0,"20 reported killed, including possibly women and children, in strike in Ghulam Khan, North Waziristan.",33.0561552562,70.0786972046,20,2010
214,215,Norak,Ob163,2010-11-19,3-4,0,0,"3-4 alleged militants killed in strike on car in Naurak, North Waziristan.",32.9887957151,70.3260612488,3,2010
215,216,Khaddi,Ob164,2010-11-21,6-9,0,0,"6-9 killed including local named militant leader and possibly 3 civilians in Khaddi, North Waziristan.",32.9785721438,70.2865791321,6,2010
216,217,Khesoor,Ob165,2010-11-22,5-6,0,0,"5-6 alleged militants killed in strike on car and motorbike in Kaisore, North Waziristan.",33.0034810269,70.2725028992,5,2010
217,218,Pir Kelev,Ob166,2010-11-26,3-4,0,0,"Up to 4 civilians killed in strike on car in Pir Keley, North Waziristan.",32.9921073224,70.1949119568,3,2010
218,219,Hassan Khel,Ob167,2010-11-28,0-4,0,0,"0-4 alleged militants killed in successful (or failed) strike on car in Hassan Khel, North Waziristan.",32.9846200333,70.3761863708,0,2010
219,220,Khushali,Ob168,2010-12-06,5,2,0,"2 alleged militants killed as car destroyed in Khushali, North Waziristan. When survivor flees into nearby shop, drone reportedly destroys store, killing him and 2 shopkeepers.",32.9686354261,70.353012085,5,2010
220,221,Unknown,Ob169,2010-12-06,At least 2,0,0,,32.9867798934,70.2608299255,2,2010
221,222,Khadar Khel,Ob170,2010-12-10,4,0,0,"2 British among 4 alleged militants killed in Khadar Khel, North Waziristan.",32.9709396921,70.400390625,4,2010
222,223,Spalaga,Ob171,2010-12-14,4,0,0,"4 alleged militants or villagers killed in Spalga, North Waziristan.",32.868630069,70.1411819458,4,2010
223,224,Tirah Valley,Ob172,2010-12-16,7,0,0,"Named Taliban commander among 7 aleged militants killed in strike in Tirah valley, Khyber Agency.",33.00175347,70.0141525269,7,2010
224,225,Sandana,Ob173,2010-12-17,7,0,0,"Strike on cars kills 7 in Sandana, Khyber Agency.",33.7511769605,70.753326416,7,2010
225,226,Nakai,Ob174,2010-12-17,11-15,0,0,"11-15 alleged Swat TTP killed in strike on compound, Naqai/ Narai, Khyber Agency.",33.7845691017,70.8113479614,11,2010
226,227,Speen Drang,Ob175,2010-12-17,32,2,0,"4 named commanders among 30 militants killed. 2 civilians also died, in  Speen Drang, Khyber Agency.",33.7931290929,70.7656860352,32,2010
227,228,Shera Tala,Ob176,2010-12-27,18-22,0,0,"5 local named commanders among 18-22 alleged militants killed near Mir Ali, North Waziristan.",32.9565370436,70.3791046143,18,2010
228,229,Machi Khel,Ob177,2010-12-27,4,0,0,"4 people killed, status unknown, in strike on vehicle in Machi Khel, North Waziristan.",32.9962826501,70.308380127,4,2010
229,230,Ghulam Khan,Ob178,2010-12-28,5-6,0,0,"5-6 alleged militants killed in Ghulam Khan, North Waziristan.",33.0561552562,70.0786972046,5,2010
230,231,Ghulam Khan,Ob179,2010-12-28,5-12,2,0,"4-12 rescuers, reportedly civilians, killed when drones strike again.  Ghulam Khan, North Waziristan.",33.0561552562,70.0786972046,5,2010
231,232,Ghulam Khan,Ob180,2010-12-28,9-10,0,0,"9-10 killed in strikes on trucks carrying alleged militants, and wounded from previous strikes.  Nawab, Ghulam Khan, North Waziristan.",33.0561552562,70.0786972046,9,2010
232,233,Ghulam Khan,Ob181,2010-12-31,4-8,0,0,"4-8 alleged Taliban pursued and killed by drone after Afghan raid.  Ghulam Khan, North Waziristan.",33.0561552562,70.0786972046,4,2010
233,234,Mandi Khel,Ob182,2011-01-01,8-9,0,0,"7-9 killed in strike on car and house, Mandi Khel, North Waziristan.",33.0285267996,70.2397155762,8,2011
234,235,Mandi Khel,Ob183,2011-01-01,5-6,0,0,"After waiting two hours with drones still overhead, rescuers attempted to retrieve the dead and injured from Ob180 but were attacked. Up to six people were killed. Mandi Khel, North Waziristan",33.0285267996,70.2397155762,5,2011
235,236,Datta Khel,Ob184,2011-01-01,4-5,0,0,"4-5 alleged militants killed in attack on car in Datta Khel, North Waziristan.",33.1772151478,70.4367828369,4,2011
236,237,Boya,Ob185,2011-01-01,4,0,0,"4 alleged militants killed in strike on vehicle in Boya or Mohammad Khel, North Waziristan.",33.0213304669,69.825668335,4,2011
237,238,Ghar Laley,Ob186,2011-01-07,4-6,0,0,"4-6 alleged militants or civilians killed in strike on motorbike and house. Ghar Laley, North Waziristan.",32.9967145692,69.750995636,4,2011
238,239,Haider Khel,Ob187,2011-01-12,3-5,0,0,"3-5 alleged militants killed in attack on house in Haider Khel, North Waziristan.",32.9700755994,70.3107833862,3,2011
239,240,Dashgah,Ob188,2011-01-18,3-7,0,0,"3-7 alleged militants killed in strike on house in Datta Khel, North Waziristan.",32.9994500082,69.6042251587,3,2011
240,241,Doga Mada Khel,Ob189,2011-01-23,4-5,0,0,"4 alleged militants killed in car in Doga Mada Khel, North Waziristan.",32.9951308553,69.6292877197,4,2011
241,242,Doga Mada Khel,Ob190,2011-01-23,2-3,0,0,"3 alleged militants killed in attack on motorbike in Doga Mada Khel, North Waziristan.",32.9951308553,69.6292877197,2,2011
242,243,Razmak,Ob191,2011-01-23,4-6,0,0,"4-6 alleged militants killed when vehicle and house struck in Razmak, North Waziristan.",32.6885093704,69.8481559753,4,2011
243,244,Azam Warsak,Ob192,2011-02-20,6-7,0,0,"3 Turkmenistan nationals and 2 â€˜Arabsâ€™ reported among 7 dead in attack on house/ compound in Azam Warsak, South Waziristan. Al Qaeda finance officer Abu Zaid al-Iraqi later reported killed.",32.3022237948,69.4054412842,6,2011
244,245,Malik Jashdar,Ob193,2011-02-21,7-11,0,0,"8-11 civilians or alleged militants killed in attack on house and car in Malik Ashdar, North Waziristan.",32.9971464863,70.3116416931,7,2011
245,246,Mohammad Khel,Ob194,2011-02-24,5-7,0,0,"6-7 alleged militants killed in attack on car and house in Mohammad Khel, North Waziristan.",32.9971464863,69.7264480591,5,2011
246,247,Landidog,Ob195,2011-03-08,5,0,0,"5 killed â€“ either militants or civilians â€“ in attack on house in Landidog, South Waziristan.",32.312524972,69.4495582581,5,2011
247,248,Datta Khel,Ob196,2011-03-09,5,0,0,5 alleged militants killed in attack on house in Datta Khel. North Waziristan.,33.1772151478,70.4367828369,5,2011
248,249,Khesoor,Ob197,2011-03-11,6-12,5,0,"6-12 killed (possibly civilians) including rescuers in attack on car in Khaisoor, North Waziristan.",33.0034810269,70.2725028992,6,2011
249,250,Ghoroski,Ob198,2011-03-11,4,0,0,"Four unknown persons killed in strike on car in Ghoroski, North Waziristan.",33.0875145584,70.2723312378,4,2011
250,251,Azam Warsak,Ob199,2011-03-13,0-4,0,0,"0-4 killed and 0-5 injured in an attack which destroyed a car but may have missed the occupants.  Azam Warsak, South Waziristan.",32.3022237948,69.4054412842,0,2011
251,252,Spalaga,Ob200,2011-03-13,6-7,0,0,"6 alleged militants killed in strike on house and car in Spalga, North Waziristan.",32.868630069,70.1411819458,6,2011
252,253,Malik Jashdar,Ob201,2011-03-14,3-6,0,0,"3-5 alleged militants killed in a moving car in Malik Jashdar, North Waziristan.",32.9971464863,70.3116416931,3,2011
253,254,Datta Khel,Ob202,2011-03-16,4-5,0,0,"Attack on either house or car kills 4-5 in Datta Khel, North Waziristan.",33.1772151478,70.4367828369,4,2011
254,255,Datta Khel,Ob203,2011-03-17,42-53,0,0,"Attack on tribal meeting kills 32-53, mostly civilians, in Datta Khel, North Waziristan.",33.1772151478,70.4367828369,42,2011
255,256,Angor Adda,Ob204,2011-04-13,6-7,0,0,"6-7 alleged militants killed in strike on vehicles and building in Angor Adda, South Waziristan.",32.4865968294,69.2832183838,6,2011
256,257,Spinwan,Ob205,2011-04-22,25-26,0,3,"Up to 25 killed, including 1-8 civilians, in strike on house in Spinwan, North Waziristan.",32.9866359044,70.3123283386,25,2011
257,258,Dwa Tooe,Ob206,2011-05-06,15-18,6,0,"18 killed, including 6 civilians, when restaurant hit along with targeted religious school in Dwa Tooe, Datta Khel, North Waziristan.",33.0117584342,69.7608661652,15,2011
258,259,Angor Adda,Ob207,2011-05-10,3-5,0,0,"4-5 alleged militants killed in strike on vehicle in Angor Ada/ Baghar, South Waziristan.",32.4865968294,69.2832183838,3,2011
259,260,Datta Khel,Ob208,2011-05-12,7-8,0,0,"8-10 alleged militants killed in strike on van and possibly house in Datta Khel, North Waziristan.",33.1772151478,70.4367828369,7,2011
260,261,Doga Mada Khel,Ob209,2011-05-13,3-5,0,0,"3-5 alleged militants killed in strike on car in Doga Mada Khel, North Waziristan.",32.9951308553,69.6292877197,3,2011
261,262,Sandasa Village,Ob210,2011-05-16,4-10,0,0,"Attack on compound kills 4-10 alleged militants in Sandasa, Mir Ali, North Waziristan.",32.9869958765,70.3512954712,4,2011
262,263,Aimarki,Ob211,2011-05-16,3-6,0,0,"3-6 alleged militants killed in strike on pick-up truck in Mir Ali, North Waziristan.",32.9934751239,70.3479480743,3,2011
263,264,Tappi,Ob212,2011-05-20,4-6,0,0,"4-6 alleged militants killed in attack on moving vehicle in Tappi, North Waziristan.",33.00175347,70.0141525269,4,2011
264,265,Mir Ali,Ob213,2011-05-23,4-7,0,0,"7 alleged militants killed in strike on van in Mir Ali, North Waziristan.",32.9582654853,70.2410888672,4,2011
265,266,Ghwa Khwa,Ob214,2011-06-03,8-12,0,0,"Up to 5 named al Qaeda killed among up to 9 alleged militants in strike on orchard in Ghwa Khwa, South Waziristan.",32.166312957,69.5880031586,8,2011
266,267,Shalam Raghzai,Ob215,2011-06-06,7-9,0,0,"House destroyed killing 8-9 alleged militants in Shalam Ragzhai, South Waziristan.",32.3316733432,69.5115280151,7,2011
267,268,Wacha Dana,Ob216,2011-06-06,8-10,0,0,"8-10 killed, including possibly 7 civilians, in attack on seminary in Wacha Dana, South Waziristan.",32.3399407062,69.4965934753,8,2011
268,269,Darnashtra,Ob217,2011-06-06,3-5,0,0,"3-5 alleged militants killed in attack on car in Darnashtra, South Waziristan.",32.8247881138,69.5901489258,3,2011
269,270,Zoynari,Ob218,2011-06-08,18-23,0,0,"18-23 alleged militants killed in attack on compound in Zoynari, South Waziristan.",32.305633469,69.5638847351,18,2011
270,271,Shawal,Ob219,2011-06-08,4,0,0,"4 militants or civilians killed in strike on truck in Shawal, South Waziristan.",33.0187396433,69.6588134766,4,2011
271,272,Wana,Ob220,2011-06-15,9-10,0,0,"Attack on house kills 9-10 alleged militants in Wana, South Waziristan.",32.3051256533,69.5762443542,9,2011
272,273,Karez,Ob221,2011-06-15,0,0,0,"None killed as car occupants escape drone strike in Karez, South Waziristan.",32.3229700401,69.5553016663,0,2011
273,274,Mir Ali,Ob222,2011-06-15,5-6,0,0,"4-6 killed, including 4 civilians, in strike on car near Miranshah, North Waziristan.",32.9582654853,70.2410888672,5,2011
274,275,Khardand,Ob223,2011-06-20,7,0,0,"7 alleged militants and rescuers killed in strike on car in Khardand, Kurram Agency.",33.5219339388,70.2761077881,7,2011
275,276,Zarakai,Ob224,2011-06-20,3-5,0,0,"3-5 alleged militants killed in strike on house in Zarakai, Kurram Agency.",33.5207890536,70.2592849731,3,2011
276,277,Shawal,Ob225,2011-06-27,6-12,0,0,"6-12 killed in strike on truck and compound in Shawal, North Waziristan.",33.0187396433,69.6588134766,6,2011
277,278,Shakai,Ob226,2011-06-27,14-21,0,0,"14-21 alleged militants killed in attack on â€˜training campâ€™ in Shakai, South Waziristan.",32.5471025777,69.6045684814,14,2011
278,279,Mir Ali,Ob227,2011-07-05,4-6,0,0,"Named Western al Qaeda militant among six reported killed in strike on guesthouse in Mir Ali, North Waziristan.",32.9582654853,70.2410888672,4,2011
279,280,Gurwak,Ob228,2011-07-11,5-10,0,0,"10 killed, including possibly 5 civilians, in strike on van in Borvaika/ Gorwak in North Waziristan.",33.0386006781,69.5393371582,5,2011
280,281,Gurwak,Ob229,2011-07-12,12-25,0,0,"Up to 18 alleged militants killed in strike on compound in Gorvak/ Shawal, North Waziristan.",33.0386006781,69.5393371582,12,2011
281,282,Barmal,Ob230,2011-07-12,5-13,0,0,"An attack on a house and/ or car killed up to thirteen alleged militants, including â€˜foreignersâ€™, and injured five. Three students â€˜with militant linksâ€™ were killed in either this or Ob230, named as Hafiz Bilal, Waheed Ullah and",32.8328658907,69.6601867676,5,2011
282,283,Datta Khel,Ob231,2011-07-12,13-15,4,0,"13-15 alleged militants killed in strike on car and house in Dre Nishatr, Shawal valley, North Waziristan.",33.1772151478,70.4367828369,13,2011
283,284,Datta Khel,Ob232,2011-07-12,8-9,1,0,"9 alleged militants killed in strike on car. At least 1 civilian casualty. Datta Khel, North Waziristan.",33.1772151478,70.4367828369,8,2011
284,285,Mir Ali,Ob233,2011-07-20,4,0,0,"4 alleged militants killed in Khushali Toori Khel, Mir Ali, North Waziristan.",32.9582654853,70.2410888672,4,2011
285,286,Azam Warsak,Ob234,2011-08-01,4-6,0,0,"4 alleged militants killed in strike on car in Azam Warsak, South Waziristan.",32.3022237948,69.4054412842,4,2011
286,287,Qutab Khel,Ob235,2011-08-02,3-4,0,0,"3-4 alleged militants killed in strike on car. Qutab Khel, North Waziristan.",32.9841880549,70.0766372681,3,2011
287,288,Miram Shah,Ob236,2011-08-10,20-25,0,0,"Up to 25 killed and vehicle destroyed in pre-dawn strike. Miram Shah, North Waziristan",33.0020413985,70.0608444214,20,2011
288,289,Miram Shah,Ob237,2011-08-16,4,0,1,"4 killed, including possibly 3-4 civilians, and 2 injured in a strike on a housing compound and vehicle. Miram Shah, North Waziristan.",33.0020413985,70.0608444214,4,2011
289,290,Shin Warsak,Ob238,2011-08-19,4,0,0,"3-4 killed and 2 injured in strike on house. Shin Warsak, South Waziristan.",32.2933725524,69.4972801208,4,2011
290,291,Norak,Ob239,2011-08-22,4-7,0,0,"4-7 killed, including possibly 0-4 civilians, and 3 injured in strike on vehicle. Norak, North Waziristan.",32.9887957151,70.3260612488,4,2011
291,292,Hisokhel,Ob240,2011-09-11,4-5,0,0,"4-5 killed and 2 injured in strike on 10th anniversary of 9-11. Hisokhel, North Waziristan.",32.953944,70.262883,4,2011
292,293,Khushali,Ob241,2011-09-23,3-8,0,0,"3-8 alleged militants killed and 3-4 injured in strike on house and vehicle. Khushali, North Waziristan.",32.9686354261,70.353012085,3,2011
293,294,Azam Warsak,Ob242,2011-09-27,0-4,0,0,"Up to four killed and up to two injured in strike on a compound. Azam Warsak, South Waziristan.",32.3022237948,69.4054412842,0,2011
294,295,Bhaggar,Ob243,2011-09-30,3-4,0,0,"3-4 killed and 5 injured in strike on a vehicle. Baghar, South Waziristan.",32.3028041739,69.3251037598,3,2011
295,296,Danda Darpakhel,Ob244,2011-10-13,4-6,0,0,"4-6 killed and 4 injured. Danda Darpakhel, North Waziristan.",33.0201789992,70.0728607178,4,2011
296,297,Zeba Pahar,Ob245,2011-10-13,3-6,0,0,"3-6 killed in strike on a compound. Zeba Pahar, South Waziristan.",32.4784877027,69.2784118652,3,2011
297,298,Danda Darpakhel,Ob246,2011-10-14,5-6,0,0,"3-4 alleged militants killed in strike on a vehicle. Danda Darpakhel, North Waziristan.",33.0201789992,70.0728607178,5,2011
298,299,Angor Adda,Ob247,2011-10-15,3-6,0,0,"3-6 killed and 3-7 injured in strike on a compound. Angor Adda, South Waziristan.",32.4865968294,69.2832183838,3,2011
299,300,Bobar,Ob248,2011-10-26,13-22,0,0,13-22 killed and 6 injured in a strike.,32.664167,70.218333,13,2011
300,301,Azam Warsak,Ob249,2011-10-27,4-6,0,0,"4-6 killed and 3-4 injured in a strike on a vehicle. Azam Warsak, South Waziristan.",32.3022237948,69.4054412842,4,2011
301,302,Hisokhel,Ob250,2011-10-27,4-6,0,0,"A second strike of the day on either a moving vehicle or a house in North Waziristan killed up to six alleged militants, according to Pakistani security officials. No further details were given.",32.953944,70.262883,4,2011
302,303,Datta Khel,Ob251,2011-10-30,4-6,4,0,Strike on a vehicle.,33.1772151478,70.4367828369,4,2011
303,304,Norak,Ob252,2011-10-31,2-4,2,0,"An attack on a vehicle near the town of Mir Ali, North Waziristan killed up to four alleged militants, according to reports. Intelligence officials were unable to provide news agencies with further details.",32.9887957151,70.3260612488,2,2011
304,305,Danda Darpakhel,Ob253,2011-11-03,2-3,0,0,"An attack on an alleged militant housing compound near Miranshah in North Waziristan killed up to three people and injured three others, according to local officials. Dawn reported that the casualties were part of the Haqqani Network.",33.0201789992,70.0728607178,2,2011
305,306,Miram Shah,Ob254,2011-11-15,7,0,0,7 killed and 3-4 injured in strike on a house in Miram Shah.,33.0020413985,70.0608444214,7,2011
306,307,Babar Ghar,Ob255,2011-11-16,16-22,0,0,15-18 killed in strike on two housing compounds in Babar Ghar.,31.2452778,69.54,16,2011
307,308,Shawal,Ob256,2011-11-17,7-9,0,0,"In the third strike in as many days, CIA drones attacked a compound in North Waziristan, killing up to seven and injuring three, according to local officials.",33.0187396433,69.6588134766,7,2011
308,309,Miram Shah,Ob257,2012-01-10,4,0,0,"4  alleged militants killed in a strike on a house near Miranshah. Aslam Awan (aka Abdullah Khorasani), a senior operations operative for al Qaeda  is believed to be among dead.",33.0020413985,70.0608444214,4,2012
309,310,Datta Khel,Ob258,2012-01-12,5-9,0,0,Up to 9 alleged militants killed and 2-3 injured in a strike on two vehicles near Dogga.,33.1772151478,70.4367828369,5,2012
310,311,Deegan,Ob259,2012-01-23,4-5,0,0,4-5 alleged militants killed and 1 injured in a strike on a vehicle near Deegan.,32.9686354261,69.7020721436,4,2012
311,312,Miranshah,Ob260,2012-02-08,9-10,0,0,10 alleged militants killed and up to 12 injured a strike on a house near Miranshah.,33.0020413985,70.0608444214,9,2012
312,313,Miranshah,Ob261,2012-02-09,5-8,0,0,"Up to 8 killed, possibly 2 civilians, in a strike on a house near Miransha.  Badar Mansoor, a local Pakistani al Qaeda leader, and his wife and child are believed to be amongst dead.",33.0020413985,70.0608444214,5,2012
313,314,Miranshah,Ob262,2012-02-16,6,0,0,6 alleged militants killed and up to 7 injured in a strike on a house near Spalga.,33.0020413985,70.0608444214,6,2012
314,315,Mir Ali,Ob263,2012-02-16,10-15,0,0,Up to 15 alleged militants killed in a strike on a vehicle in Mir Ali.,32.9582654853,70.2410888672,10,2012
315,316,Shaktoi Mandao,Ob264,2012-03-09,8-15,0,0,"8-15 alleged militants killed and 3 injured in a strike on a vehicle in the Mandao borderlands area. Amongst dead was German citizen Samir H, believed to be one of the most dangerous Islamists in the country.",32.321955,69.864395,8,2012
316,317,Drey Nishtar,Ob265,2012-03-13,6-8,0,0,Up  to 8 alleged militants belived to be senoir commanders of a Taliban faction were killed and 2-4 injured in a strike on a vehicle.,32.8210374676,69.9799919128,6,2012
317,318,Shawa,Ob266,2012-03-13,7,0,0,7 unknown alleged militants killed and 3 injured in a strike on a vehicle in the borderlands of North and South Waziristan.,32.7026315,69.9816857,7,2012
318,319,Miranshah,Ob267,2012-03-30,4,0,0,A Miranshah house destroyed killing 4 alleged militants.,33.0020413985,70.0608444214,4,2012
